id,entity_name,semantic_name
C0000167,17-Ketosteroids,Organic Chemical;Hormone;
C0000294,mesna,Organic Chemical;Pharmacologic Substance;
C0000545,eicosapentaenoic acid,Organic Chemical;Pharmacologic Substance;Biologically Active Substance;
C0000696,A Fibers,Tissue;
C0000723,Abbreviations,Intellectual Product;
C0000726,Abdomen,Body Location or Region;
C0000729,Abdominal Cramps,Sign or Symptom;
C0000731,Abdomen distended,Finding;
C0000734,Abdominal mass,Finding;
C0000737,Abdominal Pain,Sign or Symptom;
C0000739,Abdominal Muscles,"Body Part, Organ, or Organ Component;"
C0000768,Congenital Abnormality,Congenital Abnormality;
C0000769,teratologic,Functional Concept;
C0000772,Multiple congenital anomalies,Congenital Abnormality;
C0000781,Aborted Fetus (structure),Embryonic Structure;
C0000833,Abscess,Disease or Syndrome;
C0000846,Agenesis,Congenital Abnormality;
C0000850,Absidia <fungi>,Fungus;
C0000854,Absorption [PK],Natural Phenomenon or Process;
C0000857,Abstracting,Occupational Activity;
C0000872,Academic Medical Centers,Manufactured Object;Health Care Related Organization;
C0000876,Academies,Organization;
C0000886,Acanthocytes,Cell;
C0000887,Acantholysis,Pathologic Function;
C0000889,Acanthosis Nigricans,Disease or Syndrome;
C0000894,Acceleration,Phenomenon or Process;
C0000912,Accident caused by unspecified fire,Phenomenon or Process;
C0000921,Accidental Falls,Injury or Poisoning;
C0000924,Accidents,Phenomenon or Process;
C0000925,Incised wound,Injury or Poisoning;
C0000932,Traffic accidents,Injury or Poisoning;
C0000934,Acclimatization,Organism Function;
C0000936,Visual Accommodation,Organ or Tissue Function;
C0000970,acetaminophen,Organic Chemical;Pharmacologic Substance;
C0000983,acetic acid,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0001038,Acetylation,Molecular Function;
C0001041,acetylcholine,Organic Chemical;Pharmacologic Substance;Biologically Active Substance;
C0001044,acetylcholinesterase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0001072,Achievement,Behavior;
